time	H2	O2	H2O	OH	H	HO2	O	N2
0	0.498583	0.489403	0	0	0.00282674	4.6199e-008	0.00119295	0.01
1	0.49717	0.488807	0	1.23706e-006	0.00564493	1.38342e-007	0.00238493	0.01
2	0.495761	0.48821	3.9796e-010	3.70299e-006	0.00845458	2.76175e-007	0.00357595	0.01
3	0.494355	0.487612	1.59964e-009	7.38961e-006	0.0112557	4.59445e-007	0.004766	0.01
4	0.492953	0.487015	4.01813e-009	1.22888e-005	0.0140484	6.87898e-007	0.00595507	0.01
5	0.491555	0.486418	8.07345e-009	1.83923e-005	0.0168325	9.61282e-007	0.00714318	0.01
6	0.49016	0.48582	1.41921e-008	2.56921e-005	0.0196082	1.27934e-006	0.0083303	0.01
7	0.488769	0.485222	2.28066e-008	3.41801e-005	0.0223754	1.64184e-006	0.00951645	0.01
8	0.487381	0.484624	3.43552e-008	4.38483e-005	0.0251343	2.0485e-006	0.0107016	0.01
9	0.485997	0.484026	4.92814e-008	5.46884e-005	0.0278847	2.4991e-006	0.0118858	0.01
10	0.484617	0.483428	6.80334e-008	6.66926e-005	0.0306267	2.99337e-006	0.013069	0.01
11	0.48324	0.482829	9.10643e-008	7.98529e-005	0.0333603	3.53107e-006	0.0142512	0.01
12	0.481867	0.482231	1.18831e-007	9.41612e-005	0.0360856	4.11195e-006	0.0154325	0.01
13	0.480497	0.481632	1.51794e-007	0.00010961	0.0388025	4.73576e-006	0.0166127	0.01
14	0.479131	0.481033	1.90418e-007	0.00012619	0.0415111	5.40225e-006	0.017792	0.01
15	0.477769	0.480435	2.35169e-007	0.000143895	0.0442114	6.11118e-006	0.0189702	0.01
16	0.47641	0.479836	2.86519e-007	0.000162716	0.0469034	6.86231e-006	0.0201475	0.01
17	0.475054	0.479237	3.44939e-007	0.000182646	0.0495872	7.65538e-006	0.0213237	0.01
18	0.473702	0.478637	4.10905e-007	0.000203676	0.0522627	8.49015e-006	0.022499	0.01
