time	H2	O2	H2O	OH	H	HO2	O	N2
0	1	0,99	0	0	0	0	0	0,01
100	0,744753	0,858565	0,000853721	0,0273192	0,480247	0	0,234707	0,01
200	0,553967	0,727107	0,00417941	0,0717458	0,809816	0	0,449769	0,01
300	0,418246	0,606423	0,00899611	0,11908	1,02363	0	0,638844	0,01
400	0,325462	0,501302	0,0139048	0,163183	1,15483	0	0,799922	0,01
500	0,26382	0,412669	0,0181887	0,201801	1,23064	0	0,934144	0,01
600	0,223593	0,339409	0,0216559	0,234508	1,27126	0	1,04436	0,01
700	0,197558	0,27957	0,0243603	0,261688	1,29063	0	1,13405	0,01
800	0,180709	0,23103	0,0264359	0,284024	1,29776	0	1,20663	0,01
900	0,169724	0,191806	0,0280217	0,302258	1,29828	0	1,26518	0,01
1000	0,162466	0,160174	0,0292356	0,317083	1,29552	0	1,31235	0,01
1100	0,157581	0,134689	0,0301699	0,329104	1,29138	0	1,35031	0,01
1200	0,154222	0,114164	0,0308938	0,338837	1,28691	0	1,38086	0,01
1300	0,151857	0,0976342	0,0314584	0,346708	1,28263	0	1,40545	0,01
1400	0,150153	0,0843209	0,0319015	0,353069	1,27878	0	1,42525	0,01
1500	0,148897	0,0735962	0,0322513	0,358207	1,27545	0	1,44119	0,01
1600	0,147955	0,0649549	0,0325285	0,362356	1,27263	0	1,45403	0,01
1700	0,147235	0,0579911	0,0327491	0,365706	1,27028	0	1,46437	0,01
1800	0,146679	0,0523781	0,0329252	0,368409	1,26834	0	1,47271	0,01
1900	0,146244	0,0478532	0,0330661	0,370591	1,26674	0	1,47943	0,01
2000	0,145901	0,044205	0,033179	0,372351	1,26544	0	1,48484	0,01
2100	0,145629	0,0412634	0,0332696	0,373772	1,26438	0	1,48921	0,01
2200	0,145412	0,0388912	0,0333424	0,374918	1,26352	0	1,49273	0,01
2300	0,145239	0,0369781	0,0334009	0,375843	1,26283	0	1,49557	0,01
2400	0,145101	0,0354352	0,033448	0,376589	1,26226	0	1,49786	0,01
2500	0,144989	0,0341907	0,033486	0,377191	1,26181	0	1,49971	0,01
2600	0,1449	0,0331869	0,0335165	0,377676	1,26144	0	1,5012	0,01
2700	0,144828	0,0323772	0,0335411	0,378068	1,26114	0	1,5024	0,01
2800	0,14477	0,0317241	0,033561	0,378384	1,2609	0	1,50337	0,01
2900	0,144723	0,0311973	0,033577	0,378639	1,26071	0	1,50415	0,01
3000	0,144685	0,0307723	0,0335899	0,378844	1,26055	0	1,50478	0,01
3100	0,144655	0,0304295	0,0336002	0,37901	1,26043	0	1,50529	0,01
3200	0,14463	0,0301529	0,0336086	0,379144	1,26033	0	1,5057	0,01
3300	0,144611	0,0299299	0,0336154	0,379252	1,26024	0	1,50603	0,01
3400	0,144595	0,0297499	0,0336208	0,379339	1,26018	0	1,5063	0,01
3500	0,144582	0,0296047	0,0336252	0,379409	1,26012	0	1,50651	0,01
